average_FRP	fire_size	average_VPD	no2_co_ratio	average_delta_aod	average_ssa	average_delta_no2	average_delta_co	average_aod	co_dilution_metric	aod_core_rest	ssa_core_rest	co_core_rest	no2_core_rest	average_delta_aod_box0p4	average_ssa_box0p4	no2_co_ratio_box0p4	average_delta_aod_box1p2	average_ssa_box1p2	no2_co_ratio_box1p2
4.729333333333333	2	11.28563603705918	0.0007490845536455858	0.4716692278711228	0.8956392484998921	835960591892645.4	7.623741285372826e+17	1.134158850919648	0.3093154292187775	0.5587521835430038	0.005356123364876786	1.515952859379423e+18	1309574054909831						
19.82010638297873	11	46.36179493826525	0.003510073595905038	0.4203513203075865	0.8699587060038751	5291592937088287	1.468352218556315e+18	1.159794904877673	0.4810325079333181	0.3579587543405922	-0.01149992212982587	1.159171469506887e+18	8735146500574906				0.3859094565213036	0.8737078409625741	0.003381899931150561
13.07115151515151	24	58.22507886721356	0.002322450651101742	0.1739303913335864	0.8978320439320258	2557004849905246	8.718600293869896e+17	0.7472581079495252	0.5410292936216051	0.1424753139551994	-0.006269075832325166	5.903829581706609e+17	2296717979868978				0.1716015756045768	0.8997521242936964	0.002397268642951227
20.16593301435404	31	58.20284074533399	0.004029117029201577	0.3567240493975622	0.8972150083871414	5404636824783078	1.284769950897212e+18	0.9491338014718362	0.6150957028726941	0.2101276393131543	-0.01270651478261542	7.921862743149009e+17	4819072231225454				0.3274191379163424	0.8986075874203668	0.003707885751228295
23.24169491525424	13	58.2689708073238	0.003410605849158863	0.2695601043223092	0.8774970233841561	5060509501339868	1.375746170175181e+18	0.8507594905128216	0.4474109999121165	0.2867316276594279	-0.01650520345915951	1.303564390668731e+18	6484935485980276				0.2452959865541972	0.8837946057914751	0.00336936233603324
17.967375	16	59.82165555149749	0.003315798602046279	0.1945992181359848	0.9065078434464457	3152176179669792	8.706246236407587e+17	0.7964014592744111	0.6984088748313337	0.1861423827829449	-0.007771728598285454	1.438152645918671e+17	3872646483849943						
15.70833333333334	26	54.74447835456351	0.003431855332768137	1.178558575000199	0.88198850326302	8632008315625642	2.402064742396399e+18	1.913504497335153	0.6766360047904744	0.9156662189208321	-0.007060590280870471	9.405422062450301e+17	8678396277718127				0.8081532554111135	0.8902763838561194	0.003172457539714937
14.77382352941176	12	54.24601567003523	0.00326331409772007	0.2679513183732424	0.8826640677180982	3025006946738902	8.079308482404648e+17	0.771831094837806	0.6092911226911144	-0.01219001859172131	-0.01197899232221855	2.990007745519076e+17	2585682291573287						
15.89681818181818	15	54.88179797242071	0.004553831221305355	0.1992763475354614	0.9056265341341518	3095117113237384	6.435133557747068e+17	0.9051519625692853	0.5425143309333255	0.2425409173383276	-0.00880815735445728	4.373326856710138e+17	3986190121538704						
38.40826086956521	3	7.27761115356075	0.002778148868940905	0.07855847938919497	0.8932536548223737	1180052845220302	4.011463772823678e+17	0.5381731164318674	0.2854241862309015	0.04834274424357098	0.0006410894894309793	8.776179584211793e+17	2812836385202619						
17.79811320754717	8	46.44109344340139	0.01472250985840325	0.2053885933668454	0.8742542380484611	6432592124058641	3.33579163517322e+17	0.6419461078407203	0.4226117087018008	0.2182905074978511	0.0004751998839933602	2.725660888185126e+17	5787425181809197						
26.80645454545454	19	40.99649743980186	0.004422030403929142	0.6451590179442892	0.8919995647297579	9071116421193786	2.109826043888965e+18	1.596386555017365	0.6175151252595269	0.0003000136184545532	0.003487512176608698	1.157737258350918e+18	1.033913147320242e+16						
14.11511627906977	8	44.80300087599914	0.007754603090096871	0.312727330441871	0.8902069279543852	4505182605805052	5.14680583886887e+17	0.974118177283601	0.5032007224457151	0.3542117960989593	-0.02025614132594011	4.644816690700231e+17	5901743216930400				0.2898621272714418	0.894646205675838	0.006903053752162202
9.802833333333336	5	40.58981985257075	0.002365008212969905	0.2453589700216405	0.9008028483049925	2113201763172168	6.675596107121846e+17	0.8645822372732884	0.6765279459721271	0.166246049017649	-0.001881307628322615	1.516894645430259e+17	1874245478053146						
30.70507575757577	23	57.50489339813833	0.005733170050898102	0.2096319296098415	0.8682614119224217	9738454340152750	1.538508010414571e+18	0.8222146842138107	0.415304589428926	0.008680105681487776	-0.006111555828535842	1.334952869694873e+18	1.634732340424668e+16						
16.30929133858268	18	46.89065204009115	0.002334215648264836	0.3305570909581551	0.8930894460880194	2950569714594573	1.204226000371763e+18	0.9539146251826067	0.6060919482143342	0.2426095034543069	-0.004215999802152814	5.859651760152824e+17	2582373897850228				0.336535655766249	0.8955163468634326	0.002280034815835764
9.512678571428571	10	50.35440825709519	0.004286646985787187	0.3412411466197268	0.9064669460758541	3584597125498328	8.036111586230925e+17	0.8816097983420176	0.6630975168919093	0.2275181943845279	-0.003754955348728606	2.67830435304623e+17	2471028289216662						
20.22871621621621	26	49.98267145248514	0.004032017928700203	0.56459579269695	0.8945985275432566	6078711745460181	1.465932027684736e+18	1.314499466527641	0.6051867437666341	0.3797562422221559	-0.007782441638365944	8.817582413900751e+17	5950238559892757						
12.30741573033708	8	28.74728924233932	0.0013079930325381	0.5163401933505988	0.900133159506603	2286530979921813	1.860133125773975e+18	1.088266390019098	0.5175690999691457	-0.01478080339960297	-0.02438682992508912	1.058018046798792e+18	4768422885536916				0.443578332049236	0.9017644148478315	0.001254593966663425
6.043437500000001	4	45.31701806354855	0.001174715582779936	0.1026547132237264	0.9158814599368088	734669948403160.9	2.295730513774288e+17	0.7006922218315986	0.7396291174530623	0.07209491947403381	0.0005904309524618068	5.073953389476685e+16	401925826435452.4						
24.99895833333333	4	36.5373350651059	0.004475284293903131	0.476593021417049	0.8887461063408222	4482885129292910	9.267362721948493e+17	1.071614435239663	0.3099895741098257	0.3295725745844914	-0.003935178072539069	1.545080732935979e+18	6854197565821218						
16.19411764705882	4	50.7908777342207	0.00337047362936258	0.1446635067971601	0.8993639779019834	1812247771150361	4.953385362845077e+17	0.7208268294383869	0.2467406995579034	0.2988842025734887	-0.00753503520872012	1.177399008847336e+18	4752711752244001						
30.61270833333332	4	50.08474763842614	0.002376939752062323	0.1575209816913404	0.8727255682950846	1264328403332178	4.485386860912792e+17	0.5779255582350116	0.5300903151528411	0.06964640678441011	-0.008841622442490205	2.267046856212332e+17	2513869577198022						
57.68760736196321	33	38.82836601032258	0.01075398014369493	0.2272305161834673	0.8608868169652223	9166200770302526	7.062546628598806e+17	0.6248259017232799	0.4605873399305586	0.2166311026591587	-0.002318672036587532	7.858552769144581e+17	7054981613387586				0.1624325466312925	0.8666225310043264	0.009736932862226292
50.36425196850394	13	54.59492068649003	0.01219093811921098	0.1585043199199042	0.8562114572375471	1.014451135753566e+16	7.749713814759617e+17	0.6628652387738312	0.5918881875447259	0.1008583360749192	-0.02620715854550626	3.436360458601448e+17	7705499911115719				0.1416390218734341	0.8631182456058208	0.01142007135240518
44.31902439024388	8	49.34617240885085	0.009916884541929136	0.192292291321186	0.8561250450106395	5955094579881992	5.432688322691411e+17	0.5824928974572132	0.5337429479996656	0.1341394416940903	-0.000272714776021088	4.353340238292736e+17	5911197849891527				0.1523590938709858	0.8629280575192509	0.009323454142209673
