orbit_date_time	land_cover_type
20181109_0517	Grasslands
20181110_0317	Shrublands
20181110_0458	Grasslands
20181110_0458	Grasslands
20181110_0458	Grasslands
20181110_0458	Grasslands
20181110_0458	Grasslands
20181110_0458	Grasslands
20181110_0458	Shrublands
20181110_0458	Grasslands
20181110_0458	Shrublands
20181110_0458	Grasslands
20181110_0458	Shrublands
20181110_0458	Grasslands
20181110_0458	Grasslands
20181110_0458	Grasslands
20181110_0458	Grasslands
20181110_0458	Grasslands
20181110_0458	Grasslands
20181111_0439	Shrublands
20181111_0439	Shrublands
20181111_0439	Grasslands
20181111_0439	Grasslands
20181111_0439	Grasslands
20181111_0439	Grasslands
20181111_0439	Shrublands
20181111_0439	Shrublands
20181111_0439	Grasslands
20181111_0439	Grasslands
20181111_0439	Grasslands
20181111_0439	Shrublands
20181111_0439	Shrublands
20181111_0439	Grasslands
20181112_0420	Shrublands
20181112_0420	Shrublands
20181112_0420	Shrublands
20181112_0420	Grasslands
20181112_0420	Grasslands
20181112_0420	Grasslands
20181112_0420	Shrublands
20181112_0420	Savannas
20181112_0420	Shrublands
20181112_0420	Grasslands
20181112_0420	Grasslands
20181112_0420	Savannas
20181112_0420	Grasslands
20181113_0401	Shrublands
20181113_0401	Shrublands
20181113_0401	Savannas
20181113_0401	Shrublands
20181113_0401	Shrublands
20181113_0401	Grasslands
20181113_0542	Shrublands
20181113_0542	Grasslands
20181113_0542	Shrublands
20181113_0542	Grasslands
20181113_0542	Shrublands
20181114_0342	Shrublands
20181114_0342	Shrublands
20181114_0523	Shrublands
20181114_0523	Grasslands
20181114_0523	Shrublands
20181114_0523	Shrublands
20181115_0504	Shrublands
20181115_0504	Grasslands
20181115_0504	Grasslands
20181115_0504	Shrublands
20181115_0504	Grasslands
20181115_0504	Grasslands
20181115_0504	Grasslands
20181115_0504	Grasslands
20181115_0504	Grasslands
20181115_0504	Shrublands
20181115_0504	Grasslands
20181115_0504	Shrublands
20181115_0504	Shrublands
20181115_0504	Grasslands
20181116_0445	Grasslands
20181116_0445	Grasslands
20181116_0445	Grasslands
20181116_0445	Grasslands
20181117_0426	Grasslands
20181117_0426	Grasslands
20181117_0426	Grasslands
20181117_0426	Grasslands
20181117_0426	Grasslands
20181118_0407	Grasslands
20181119_0348	Shrublands
20181119_0529	Shrublands
20181120_0328	Shrublands
20181120_0510	Shrublands
20181124_0354	Grasslands
20181124_0354	Grasslands
20181125_0334	Savannas
20181125_0334	Grasslands
20181125_0516	Shrublands
20181126_0315	Savannas
20181126_0315	Savannas
20181128_0419	Grasslands
20181129_0400	Savannas
20181129_0400	Everg_bl_forests
20181129_0400	Savannas
20181129_0400	Grasslands
20181129_0400	Shrublands
20181130_0341	Savannas
20181130_0341	Savannas
20181130_0341	Grasslands
20181130_0341	Savannas
20181130_0341	Grasslands
20181130_0341	Savannas
20181130_0341	Savannas
20181130_0341	Grasslands
20181201_0321	Shrublands
20181201_0321	Grasslands
20181201_0321	Savannas
20181201_0321	Savannas
20181201_0321	Savannas
20181201_0321	Savannas
20181201_0321	Grasslands
20181202_0302	Savannas
20181202_0302	Savannas
20181202_0302	Savannas
20181202_0444	Shrublands
20181202_0444	Grasslands
20181202_0444	Grasslands
20181202_0444	Shrublands
20181202_0444	Grasslands
20181203_0243	Savannas
20181203_0243	Grasslands
20181203_0243	Savannas
20181203_0425	Grasslands
20181203_0425	Grasslands
20181203_0425	Grasslands
20181203_0425	Shrublands
20181203_0425	Grasslands
20181203_0425	Savannas
20181203_0425	Grasslands
20181203_0425	Grasslands
20181203_0425	Grasslands
20181203_0425	Grasslands
20181204_0406	Grasslands
20181204_0406	Grasslands
20181204_0406	Grasslands
20181204_0406	Grasslands
20181204_0406	Grasslands
20181204_0406	Grasslands
20181204_0406	Shrublands
20181204_0406	Grasslands
20181205_0347	Grasslands
20181205_0347	Grasslands
20181205_0347	Shrublands
20181205_0347	Grasslands
20181205_0347	Grasslands
20181205_0347	Grasslands
20181205_0347	Grasslands
20181205_0347	Shrublands
20181205_0347	Grasslands
20181205_0528	Shrublands
20181205_0528	Grasslands
20181205_0528	Shrublands
20181205_0528	Shrublands
20181205_0528	Shrublands
20181205_0528	Shrublands
20181206_0328	Grasslands
20181206_0328	Grasslands
20181206_0509	Shrublands
20181206_0509	Shrublands
20181206_0509	Grasslands
20181206_0509	Shrublands
20181207_0450	Grasslands
20181207_0450	Shrublands
20181207_0450	Shrublands
20181207_0450	Grasslands
20181207_0450	Grasslands
20181207_0450	Grasslands
20181207_0450	Shrublands
20181207_0450	Grasslands
20181207_0450	Grasslands
20181207_0450	Grasslands
20181207_0450	Grasslands
20181207_0450	Shrublands
20181208_0431	Shrublands
20181208_0431	Grasslands
20181208_0431	Shrublands
20181209_0412	Shrublands
20181209_0412	Grasslands
20181209_0412	Shrublands
20181209_0412	Shrublands
20181209_0553	Shrublands
20181209_0553	Shrublands
20181210_0353	Shrublands
20181210_0353	Grasslands
20181210_0534	Shrublands
20181212_0456	Shrublands
20181212_0456	Shrublands
20190101_0522	Shrublands
20190102_0503	Shrublands
20190102_0503	Shrublands
20190102_0503	Shrublands
20190102_0503	Shrublands
20190103_0444	Shrublands
20190103_0444	Shrublands
20190103_0444	Shrublands
20190103_0444	Shrublands
20190103_0444	Shrublands
20190104_0425	Shrublands
